Distance,Z_fondale,Z_AUV
2544.43818600366,-24.3513504324852,-21.3517211969372
2551.22335449967,-24.3492540258258,-21.3496247888642
2558.00852299568,-24.3471576265801,-21.347528388292
2564.79369149168,-24.3450612351395,-21.3454319954791
2571.5788599877,-24.3429648523907,-21.3433356112178
2578.3640284837,-24.340868479797,-21.3412392368707
2585.14919697972,-24.3387721141232,-21.3391428698936
2591.93436547572,-24.3366757485133,-21.3370465040782
2598.71953397173,-24.3345793829034,-21.3349501384374
2605.50470246774,-24.3326045748268,-21.3329570628593
2612.28987096375,-24.3309043101497,-21.3312127949679
2619.07503945976,-24.3294387422001,-21.3297053443792
2625.86020795577,-24.3281815996005,-21.3284105858436
2632.64537645178,-24.3271199737429,-21.3273139251319
2639.43054494779,-24.3262530405385,-21.3264124687976
2646.2157134438,-24.3255919762213,-21.3257152787029
2653.00088193981,-24.3251610731453,-21.3252443583846
2659.78605043582,-24.3249999254785,-21.3250366585152
2666.57121893183,-24.3249998092651,-21.3250053469191
2673.35638742784,-24.3249998092651,-21.3250006414561
2680.14155592385,-24.3249998092651,-21.3249999343256
2686.92672441986,-24.3247153413828,-21.3247581096139
2693.71189291587,-24.3238855411045,-21.3240166694848
2700.49706141188,-24.3225912853038,-21.3228054900533
2707.28222990789,-24.3208829806035,-21.3211718926459
2714.0673984039,-24.3187845778138,-21.3191433401618
2720.85256689991,-24.3162959545065,-21.316723855657
2727.63773539592,-24.3133929025047,-21.3138934735052
2734.42290389193,-24.3100247211691,-21.3106061118819
2741.20807238794,-24.306110477702,-21.3067860753451
2747.99324088395,-24.301917666511,-21.3026492842099
2754.77840937996,-24.2977248553199,-21.2984648916349
2761.56357787597,-24.2935320441374,-21.2942733455889
2768.34874637198,-24.2893392392101,-21.2900807298446
2775.13391486799,-24.2851464445544,-21.2858879620755
2781.919083364,-24.2809536586664,-21.2816951789103
2788.70425186001,-24.2767608806249,-21.2775024000989
2795.48942035602,-24.2725681100085,-21.2733096282509
2802.27458885203,-24.2683753468533,-21.2691168637894
2809.05975734804,-24.2641825916566,-21.2649241072004
2815.84492584405,-24.2599898454263,-21.2607313594134
2822.63009434006,-24.2557971096739,-21.2565386218524
2829.41526283607,-24.251604378454,-21.2523458896796
2836.20043133208,-24.2474116472342,-21.2481531583166
2842.98559982809,-24.243218915937,-21.2439604270095
2849.7707683241,-24.2390261776186,-21.2397676897447
2856.5559368201,-24.2348334291636,-21.2355749429714
2863.34110531611,-24.2306406720287,-21.2313821873936
2870.12627381212,-24.2264479070953,-21.2271894238661
2876.91144230813,-24.2222551347497,-21.2229966528458
2883.69661080414,-24.2180623549221,-21.2188038743416
2890.48177930015,-24.213869567079,-21.2146110879021
2897.26694779616,-24.2096767701715,-21.2104182925676
2904.05211629217,-24.2054839627913,-21.2062254869976
2910.83728478818,-24.2012911516003,-21.2020326766513
2917.62245328419,-24.1970983404092,-21.1978398655872
2924.4076217802,-24.1929111554812,-21.1936518351713
2931.19279027621,-24.1889260039403,-21.1896361952756
2937.97795877222,-24.1852031478468,-21.1858693400402
2944.76312726823,-24.1817056166377,-21.1823313351915
2951.54829576424,-24.1784113369906,-21.1790004288606
2958.33346426025,-24.175311095427,-21.175865523317
2965.11863275626,-24.1724076114086,-21.1729272615941
2971.90380125227,-24.169715814849,-21.170198426593
2978.68896974828,-24.167264307799,-21.1677052430848
2985.47413824429,-24.1650853987294,-21.1654791052902
2992.2593067403,-24.1629890331195,-21.1633632376972
2999.04447523631,-24.1608926675095,-21.1612639413564
3005.82964373232,-24.1587963014806,-21.1591671349643
3012.61481222833,-24.156699927138,-21.1570706956939
3019.39998072434,-24.1546035429172,-21.1549743032003
3026.18514922035,-24.1525071501826,-21.1528779105019
3032.97031771636,-24.1504107497373,-21.1507815112208
3039.75548621237,-24.148314341898,-21.1486851046676
3046.54065470838,-24.1462179265272,-21.1465886906219
3053.32582320439,-24.1441215030187,-21.1444922685355
3060.1109917004,-24.1420250702391,-21.1423958373629
3066.89616019641,-24.139928627205,-21.1402993961113
3073.68132869242,-24.1378321816239,-21.1382029511808
3080.46649718843,-24.1357357360428,-21.1361065056974
3087.25166568444,-24.1336212121011,-21.1339946985612
3094.03683418045,-24.1312748769671,-21.1316836079681
3100.82200267646,-24.1286728362352,-21.1291252908179
3107.60717117247,-24.1258496672532,-21.1263419234003
3114.39233966847,-24.122825414218,-21.1233538703202
3121.17750816448,-24.1196074757683,-21.1201704787237
3127.96267666049,-24.1161913535117,-21.1167893309065
3134.7478451565,-24.1125601940387,-21.1131957428369
3141.53301365251,-24.108683159936,-21.1093613046093
